Sentence,Aspect Term,polarity,Aspect_Label,Sentiment_Label
I charge it at night and skip taking the cord with me because of the good battery life.,cord,2,0,0
I charge it at night and skip taking the cord with me because of the good battery life.,battery life,1,1,1
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",service center,0,2,2
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.","""sales"" team",0,3,2
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from.",tech guy,2,4,0
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",quality,1,5,1
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",GUI,1,6,1
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",applications,1,7,1
"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",use,1,8,1
Easy to start up and does not overheat as much as other laptops.,start up,1,9,1
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",features,1,10,1
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",iChat,1,11,1
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",Photobooth,1,12,1
"I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!",garage band,1,13,1
Great laptop that offers many great features!,features,1,10,1
" One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",GUI,0,6,2
" One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",screen,0,14,2
" One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",power light,2,15,0
" One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",hard drive light,0,16,2
I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.,battery,2,17,0
"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",rubber enclosure,1,18,1
"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",edge,0,19,2
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",multi-touch gestures,1,20,1
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",tracking area,1,21,1
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",external mouse,2,22,0
"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",gaming,2,23,0
I love the way the entire suite of software works together.,suite of software,1,24,1
The speed is incredible and I am more than satisfied.,speed,1,25,1
This laptop meets every expectation and Windows 7 is great!,Windows 7,1,26,1
I can barely use any usb devices because they will not stay connected properly.,usb devices,0,27,2
When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,software,2,28,0
When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,system,0,29,2
"One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.",Microsoft office for the mac,0,30,2
Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,syncing,1,31,1
"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!","30"" HD Monitor",1,32,1
